Sensor no.	Tube no.	Winding no.	x/c	y/c

0	1	1	0.482219726	-0.120287679
1	2	21	0.666745146	-0.039311951
2	3	0	0.73678132	-0.055548521
3	5	13	0.036849088	0.02517618
4	6	11	0.017702325	0.02325355
5	7	8	0.020091693	-0.034690066
6	8	6	0.037189517	-0.048627624
7	9	10	0.0000191	-0.001057558
8	11	9	0.008870252	-0.022772176
9	12	7	0.029719162	-0.043094853
10	13	5	0.06888126	-0.066358583
11	14	4	0.132395191	-0.089972607
12	15	3	0.230537465	-0.111440016
13	16	2	0.354988244	-0.124059445
14	17	20	0.539510482	-0.04890474
15	18	19	0.412278999	-0.043236115
16	19	18	0.285041154	-0.028557566
17	20	17	0.157828761	-0.00389553
18	21	16	0.087359891	0.01457642
19	22	15	0.065556506	0.020169006
20	23	14	0.046428833	0.023960816
21	24	12	0.027253435	0.025220404
