Brewer	Colour	Number	Type	Critical	Colour	Colour	R	G	B
Row	Palette	of	of	Value	Ramp	Letter			
Number	Name	Steps	Data		Slot				
									
76	BrBG	3	Diverging	2	1	E	216	179	101
77	BrBG	3	Diverging	2	2	H	245	245	245
78	BrBG	3	Diverging	2	3	K	90	180	172
79	BrBG	4	Diverging	2.5	1	C	166	97	26
80	BrBG	4	Diverging	2.5	2	F	223	194	125
81	BrBG	4	Diverging	2.5	3	J	128	205	193
82	BrBG	4	Diverging	2.5	4	M	1	133	113
83	BrBG	5	Diverging	3	1	C	166	97	26
84	BrBG	5	Diverging	3	2	F	223	194	125
85	BrBG	5	Diverging	3	3	H	245	245	245
86	BrBG	5	Diverging	3	4	J	128	205	193
87	BrBG	5	Diverging	3	5	M	1	133	113
88	BrBG	6	Diverging	3.5	1	B	140	81	10
89	BrBG	6	Diverging	3.5	2	E	216	179	101
90	BrBG	6	Diverging	3.5	3	G	246	232	195
91	BrBG	6	Diverging	3.5	4	I	199	234	229
92	BrBG	6	Diverging	3.5	5	K	90	180	172
93	BrBG	6	Diverging	3.5	6	N	1	102	94
94	BrBG	7	Diverging	4	1	B	140	81	10
95	BrBG	7	Diverging	4	2	E	216	179	101
96	BrBG	7	Diverging	4	3	G	246	232	195
97	BrBG	7	Diverging	4	4	H	245	245	245
98	BrBG	7	Diverging	4	5	I	199	234	229
99	BrBG	7	Diverging	4	6	K	90	180	172
100	BrBG	7	Diverging	4	7	N	1	102	94
101	BrBG	8	Diverging	4.5	1	B	140	81	10
102	BrBG	8	Diverging	4.5	2	D	191	129	45
103	BrBG	8	Diverging	4.5	3	F	223	194	125
104	BrBG	8	Diverging	4.5	4	G	246	232	195
105	BrBG	8	Diverging	4.5	5	I	199	234	229
106	BrBG	8	Diverging	4.5	6	J	128	205	193
107	BrBG	8	Diverging	4.5	7	L	53	151	143
108	BrBG	8	Diverging	4.5	8	N	1	102	94
109	BrBG	9	Diverging	5	1	B	140	81	10
110	BrBG	9	Diverging	5	2	D	191	129	45
111	BrBG	9	Diverging	5	3	F	223	194	125
112	BrBG	9	Diverging	5	4	G	246	232	195
113	BrBG	9	Diverging	5	5	H	245	245	245
114	BrBG	9	Diverging	5	6	I	199	234	229
115	BrBG	9	Diverging	5	7	J	128	205	193
116	BrBG	9	Diverging	5	8	L	53	151	143
117	BrBG	9	Diverging	5	9	N	1	102	94
118	BrBG	10	Diverging	5.5	1	A	84	48	5
119	BrBG	10	Diverging	5.5	2	B	140	81	10
120	BrBG	10	Diverging	5.5	3	D	191	129	45
121	BrBG	10	Diverging	5.5	4	F	223	194	125
122	BrBG	10	Diverging	5.5	5	G	246	232	195
123	BrBG	10	Diverging	5.5	6	I	199	234	229
124	BrBG	10	Diverging	5.5	7	J	128	205	193
125	BrBG	10	Diverging	5.5	8	L	53	151	143
126	BrBG	10	Diverging	5.5	9	N	1	102	94
127	BrBG	10	Diverging	5.5	10	O	0	60	48
128	BrBG	11	Diverging	6	1	A	84	48	5
129	BrBG	11	Diverging	6	2	B	140	81	10
130	BrBG	11	Diverging	6	3	D	191	129	45
131	BrBG	11	Diverging	6	4	F	223	194	125
132	BrBG	11	Diverging	6	5	G	246	232	195
133	BrBG	11	Diverging	6	6	H	245	245	245
134	BrBG	11	Diverging	6	7	I	199	234	229
135	BrBG	11	Diverging	6	8	J	128	205	193
136	BrBG	11	Diverging	6	9	L	53	151	143
137	BrBG	11	Diverging	6	10	N	1	102	94
138	BrBG	11	Diverging	6	11	O	0	60	48
616	PiYG	3	Diverging	2	1	E	233	163	201
617	PiYG	3	Diverging	2	2	H	247	247	247
618	PiYG	3	Diverging	2	3	K	161	215	106
619	PiYG	4	Diverging	2.5	1	C	208	28	139
620	PiYG	4	Diverging	2.5	2	F	241	182	218
621	PiYG	4	Diverging	2.5	3	J	184	225	134
622	PiYG	4	Diverging	2.5	4	M	77	172	38
623	PiYG	5	Diverging	3	1	C	208	28	139
624	PiYG	5	Diverging	3	2	F	241	182	218
625	PiYG	5	Diverging	3	3	H	247	247	247
626	PiYG	5	Diverging	3	4	J	184	225	134
627	PiYG	5	Diverging	3	5	M	77	172	38
628	PiYG	6	Diverging	3.5	1	B	197	27	125
629	PiYG	6	Diverging	3.5	2	E	233	163	201
630	PiYG	6	Diverging	3.5	3	G	253	224	239
631	PiYG	6	Diverging	3.5	4	I	230	245	208
632	PiYG	6	Diverging	3.5	5	K	161	215	106
633	PiYG	6	Diverging	3.5	6	N	77	146	33
